Source,Name,Race,Gender,Class,Health,Magicka,Stamina,Primary Skills,Faction(s),Essential,Aggression,Morality,Location,Smithing,Heavy Armor,Block,Two-Handed,One-Handed,Archery,Light Armor,Sneak,Lockpicking,Pickpocket,Speech,Alchemy,Illusion,Conjuration,Destruction,Restoration,Alteration,Enchanting,text
https://en.uesp.net/wiki/Skyrim:Beitild,Beitild,Nord,Female,Miner,91,67,67,"Smithing, Two-handed",CrimeFactionPale; DawnstarIronBreakerMinersFaction; FavorExcludedFaction; FavorJobsMineOreFaction; JobMinerFaction; TownDawnstarFaction,No,Unaggressive,No Crime,,20,15,20,25,20,15,20,15,15,15,20,15,15,15,15,15,15,15,"Beitild: Nord Miner from Unknown. Skills: Smithing, Two-handed"
https://en.uesp.net/wiki/Skyrim:Brina_Merilis,Brina Merilis,Nord,Female,Warrior,50+(PC-1)×11.7,50,50+(PC-1)×3.3,"Heavy Armor, One-handed, Archery, Block",CrimeFactionPale; DawnstarBrinaHouseFaction; Favor256QuestGiverFaction; Imperial Government; TownDawnstarFaction,Yes,Unaggressive,No Crime,,20,15,20,25,20,15,20,15,15,15,20,15,15,15,15,15,15,15,"Brina Merilis: Nord Warrior from Unknown. Skills: Heavy Armor, One-handed, Archery, Block"
https://en.uesp.net/wiki/Skyrim:Horik_Halfhand,Horik Halfhand,Nord,Male,Warrior,50+(PC-1)×11.7,50,50+(PC-1)×3.3,"Heavy Armor, One-handed, Archery, Block",CrimeFactionPale; DawnstarBrinaHouseFaction; Imperial Government; TownDawnstarFaction,Yes,Unaggressive,No Crime,,20,15,20,25,20,15,20,15,15,15,20,15,15,15,15,15,15,15,"Horik Halfhand: Nord Warrior from Unknown. Skills: Heavy Armor, One-handed, Archery, Block"
https://en.uesp.net/wiki/Skyrim:Dawnstar_Guard,Dawnstar Guard,Nord,Male,Warrior,,,,,CrimeFactionPale; Stormcloaks; Sons of Skyrim; NPC faction; Guard Faction; Dialogue Faction for Dawnstar Guards; GuardFaction,No,Indeterminate,Indeterminate,Dawnstar,20,15,20,25,20,15,20,15,15,15,20,15,15,15,15,15,15,15,Dawnstar Guard: Nord Warrior from Dawnstar. Skills: Unknown
https://en.uesp.net/wiki/Skyrim:Babette,Babette,Breton,Female,Assassin,125,15,95,"Archery, One-handed, Sneak, Conjuration, Light Armor",Alchemy Trainer; Babette's Bed Ownership; Babette's Dark Brotherhood Services; The Dark Brotherhood; FavorExcludedFaction; JobApothecaryFaction; JobMerchantFaction; JobMiscFaction; Skill Trainer,Yes,Unaggressive,No Crime,"Dark Brotherhood Sanctuary, Dawnstar Sanctuary",15,15,15,15,15,15,15,15,15,15,20,20,20,25,15,20,20,15,"Babette: Breton Assassin from Dark Brotherhood Sanctuary, Dawnstar Sanctuary. Skills: Archery, One-handed, Sneak, Conjuration, Light Armor"
https://en.uesp.net/wiki/Skyrim:Cicero,Cicero,Imperial,Male,Assassin,267-558,73-132,120-295,"One-handed, Sneak, Archery, Light Armor",The Dark Brotherhood; FavorExcludedFaction,"Yes, except during The Cure for Madness",Aggressive,Any Crime,"Loreius Farm, Dark Brotherhood Sanctuary, Dawnstar Sanctuary",15,20,20,15,20,15,15,15,15,15,15,15,15,15,20,25,15,20,"Cicero: Imperial Assassin from Loreius Farm, Dark Brotherhood Sanctuary, Dawnstar Sanctuary. Skills: One-handed, Sneak, Archery, Light Armor"
https://en.uesp.net/wiki/Skyrim:Dark_Brotherhood_Initiate,Dark Brotherhood Initiate,Nord,Male,Assassin,175-925,65-215,95-545,"One-handed, Sneak, Archery, Light Armor",The Dark Brotherhood; FavorExcludedFaction,Yes,Aggressive,Any Crime,Dawnstar Sanctuary,20,15,20,25,20,15,20,15,15,15,20,15,15,15,15,15,15,15,"Dark Brotherhood Initiate: Nord Assassin from Dawnstar Sanctuary. Skills: One-handed, Sneak, Archery, Light Armor"
https://en.uesp.net/wiki/Skyrim:Nazir,Nazir,Redguard,Male,Assassin,150+(PC-1)×8.3,50+(PC-1)×1.7,50+(PC-1)×5,"Light Armor, One-handed, Sneak, Archery",The Dark Brotherhood; FavorExcludedFaction; Light Armor Trainer; Skill Trainer,Yes,Aggressive,No Crime,"Dark Brotherhood Sanctuary, Dawnstar Sanctuary",20,15,20,15,25,20,15,15,15,15,15,15,15,15,20,15,20,15,"Nazir: Redguard Assassin from Dark Brotherhood Sanctuary, Dawnstar Sanctuary. Skills: Light Armor, One-handed, Sneak, Archery"
https://en.uesp.net/wiki/Skyrim:Fruki,Fruki,Nord,Female,Miner,91,67,67,"Smithing, Two-handed",CrimeFactionPale; DawnstarFrukisHouseFaction; JobMinerFaction; TownDawnstarFaction,No,Unaggressive,No Crime,,20,15,20,25,20,15,20,15,15,15,20,15,15,15,15,15,15,15,"Fruki: Nord Miner from Unknown. Skills: Smithing, Two-handed"
https://en.uesp.net/wiki/Skyrim:Irgnir,Irgnir,Nord,Female,Miner,91,67,67,"Smithing, Two-handed",CrimeFactionPale; DawnstarIrgnirsHouseFaction; DawnstarIronBreakerMinersFaction; JobMinerFaction; TownDawnstarFaction,No,Unaggressive,No Crime,,20,15,20,25,20,15,20,15,15,15,20,15,15,15,15,15,15,15,"Irgnir: Nord Miner from Unknown. Skills: Smithing, Two-handed"
https://en.uesp.net/wiki/Skyrim:Bodil,Bodil,Nord,Female,Miner,91,67,67,"Smithing, Two-handed",CrimeFactionPale; DawnstarIronBreakerMinersFaction; JobMinerFaction; TownDawnstarFaction,No,Unaggressive,No Crime,Iron-Breaker Mine,20,15,20,25,20,15,20,15,15,15,20,15,15,15,15,15,15,15,"Bodil: Nord Miner from Iron-Breaker Mine. Skills: Smithing, Two-handed"
https://en.uesp.net/wiki/Skyrim:Gjak,Gjak,Nord,Male,Miner,91,67,67,"Smithing, Two-handed",CrimeFactionPale; DawnstarIronBreakerMinersFaction; JobMinerFaction; TownDawnstarFaction,No,Unaggressive,No Crime,Iron-Breaker Mine,20,15,20,25,20,15,20,15,15,15,20,15,15,15,15,15,15,15,"Gjak: Nord Miner from Iron-Breaker Mine. Skills: Smithing, Two-handed"
https://en.uesp.net/wiki/Skyrim:Karl,Karl,Nord,Male,Miner,91,67,67,"Smithing, Two-handed",CrimeFactionPale; DawnstarIronBreakerMinersFaction; FavorJobsDrunksFaction; JobMinerFaction; TownDawnstarFaction,No,Unaggressive,No Crime,Iron-Breaker Mine,20,15,20,25,20,15,20,15,15,15,20,15,15,15,15,15,15,15,"Karl: Nord Miner from Iron-Breaker Mine. Skills: Smithing, Two-handed"
https://en.uesp.net/wiki/Skyrim:Leigelf,Leigelf,Nord,Male,Miner,91,67,67,"Smithing, Two-handed",CrimeFactionPale; DawnstarQuicksilverMinerFaction; FavorJobsMineOreFaction; JobMinerFaction; TownDawnstarFaction,No,Unaggressive,No Crime,,20,15,20,25,20,15,20,15,15,15,20,15,15,15,15,15,15,15,"Leigelf: Nord Miner from Unknown. Skills: Smithing, Two-handed"
https://en.uesp.net/wiki/Skyrim:Frida,Frida,Elder,Female,Apothecary,91,67,67,"Alchemy, Speech",CrimeFactionPale; Favor205QuestGiverFaction; JobApothecaryFaction; JobMerchantFaction; ServicesDawnstarUsefulThingsApothecary; TownDawnstarFaction,No,Unaggressive,No Crime,,20,19,21,19,24,17,16,16,14,15,16,16,13,14,17,15,16,16,"Frida: Elder Apothecary from Unknown. Skills: Alchemy, Speech"
https://en.uesp.net/wiki/Skyrim:Alesan,Alesan,Redguard,Male,Child,50,0,50,,BYOHDisallowGamesFaction; BYOHRelationshipAdoptableFaction; BYOHUrchin_AlesanJobFaction; CrimeFactionPale; DawnstarWindpeakInnFaction; TownDawnstarFaction,No,Unaggressive,No Crime,,20,15,20,15,25,20,15,15,15,15,15,15,15,15,20,15,20,15,Alesan: Redguard Child from Unknown. Skills: Unknown
https://en.uesp.net/wiki/Skyrim:Harlaug,Harlaug,Nord,Male,Warrior,108,50,67,"One-handed, Block, Heavy Armor, Two-handed",BanditFriendFaction; Blood-Kin of the Orcs; CrimeFactionPale; Faction that is friends with all Creatures; Ferry System Vendors; Friends with PredatorFaction,No,Unaggressive,No Crime,,20,15,20,25,20,15,20,15,15,15,20,15,15,15,15,15,15,15,"Harlaug: Nord Warrior from Unknown. Skills: One-handed, Block, Heavy Armor, Two-handed"
https://en.uesp.net/wiki/Skyrim:Irine,Irine,Dark Elf,Female,Miner,,,,,CrimeFactionPale; TownDawnstarFaction; DawnstarQuicksilverMinerFaction,No,Unaggressive,No Crime,,26,24,28,24,34,32,33,35,36,38,40,41,43,44,46,47,49,50,Irine: Dark Elf Miner from Unknown. Skills: Unknown
https://en.uesp.net/wiki/Skyrim:Rustleif,Rustleif,Nord,Male,Blacksmith,95,60,70,"Smithing, Speech, Block, One-handed",CrimeFactionPale; DawnstarRustleifsHouseFaction; Favor110QuestGiverFaction; JobBlacksmithFaction; JobMerchantFaction; ServicesDawnstarRustleifSmithy; TownDawnstarFaction,No,Unaggressive,No Crime,,20,15,20,25,20,15,20,15,15,15,20,15,15,15,15,15,15,15,"Rustleif: Nord Blacksmith from Unknown. Skills: Smithing, Speech, Block, One-handed"
